timestamp,portfolio_value,ada_price,ada_amount,djed_amount,lp_positions,ada_allocation,rebalanced,returns,cumulative_return,hodl_value,hodl_return
2025-03-10 20:26:42.009350,100010.95890410959,0.772456356035689,64735.669609461336,30003.287671232876,20002.19178082192,0.5,True,,0.010958904109581447,100000.0,0.0
2025-03-11 20:26:42.009350,101682.11038868161,0.7981020532147292,63702.448815354735,30504.633116604484,20336.422077736323,0.5,True,0.01670968364751224,1.6821103886816235,103320.01892128326,3.320018921283263
2025-03-12 20:26:42.009350,101456.1845000855,0.7943805458319068,63858.67896213179,30436.855350025646,20291.236900017102,0.5,True,-0.0022218843386757614,1.456184500085489,102838.24317385834,2.838243173858346
2025-03-13 20:26:42.009350,100186.25274191884,0.7743198388934037,64693.06849033925,30055.87582257565,20037.25054838377,0.5,True,-0.012517046293669565,0.18625274191883534,100241.24118380983,0.24124118380983717
2025-03-14 20:26:42.009350,100802.36908249525,0.7836738089450455,64313.983657430064,30240.710724748573,20160.473816499052,0.5,True,0.006149709403380221,0.8023690824952467,101452.17950783983,1.4521795078398236
2025-03-15 20:26:42.009350,99378.66006926168,0.7613651947586848,65263.464073085066,29813.598020778503,19875.732013852336,0.5,True,-0.01412376540543836,-0.6213399307383183,98564.16984722283,-1.4358301527771733
2025-03-16 20:26:42.009350,99374.36791144604,0.7611325535697184,65280.59235239602,29812.31037343381,19874.87358228921,0.5,True,-4.3189934465281965e-05,-0.6256320885539624,98534.05278143023,-1.465947218569763
2025-03-17 20:26:42.009350,97260.8563629521,0.7285899277504705,66745.95177512683,29178.25690888563,19452.171272590418,0.5,True,-0.021268176018762963,-2.7391436370479028,94321.17711991593,-5.678822880084078
2025-03-18 20:26:42.009350,95782.99037141234,0.7062885794898343,67807.26260687821,28734.8971114237,19156.59807428247,0.5,True,-0.015194869208479345,-4.217009628587665,91434.10808535082,-8.565891914649182
2025-03-19 20:26:42.009350,95764.43719643075,0.705860160174073,67835.27573847925,28729.331158929224,19152.88743928615,0.5,True,-0.0001937001017575657,-4.235562803569248,91378.64614081329,-8.621353859186708
2025-03-20 20:26:42.009350,96266.05251771523,0.7131000598147028,67498.27825195367,28879.81575531457,19253.210503543047,0.5,True,0.0052380125229114505,-3.733947482284772,92315.90293002344,-7.684097069976559
2025-03-21 20:26:42.009350,96220.8822130517,0.7122745571427526,67544.79803338484,28866.264663915506,19244.17644261034,0.5000000000000001,True,-0.0004692236097997293,-3.779117786948305,92209.03570503395,-7.790964294966052
2025-03-22 20:26:42.009350,95899.66381305971,0.707362807254284,67786.75866865696,28769.89914391791,19179.932762611945,0.5,True,-0.003338343949920719,-4.1003361869402895,91573.1745524795,-8.426825447520503
2025-03-23 20:26:42.009350,95402.20871910377,0.6998692398359393,68157.16657405003,28620.66261573113,19080.441743820757,0.5,True,-0.00518724544150273,-4.5977912808962245,90603.07865517828,-9.396921344821719
2025-03-24 20:26:42.009350,93807.94223535882,0.6763248115537946,69351.25004496258,28142.382670607643,18761.588447071765,0.5,True,-0.016711001822180216,-6.192057764641179,87555.08402115435,-12.44491597884565
2025-03-25 20:26:42.009350,92932.31995737899,0.6635506712197382,70026.5435543535,27879.695987213698,18586.463991475797,0.5,True,-0.009334201956833654,-7.067680042621005,85901.38019255042,-14.098619807449575
2025-03-26 20:26:42.009350,92300.81578580305,0.6543871668850022,70524.62246866112,27690.244735740915,18460.16315716061,0.5,True,-0.006795312673411824,-7.699184214196952,84715.09901781018,-15.28490098218982
2025-03-27 20:26:42.009350,93075.3067254319,0.6652255911824764,69957.70153699683,27922.59201762957,18615.061345086382,0.5,True,0.00839094360147552,-6.924693274568094,86118.21056097849,-13.881789439021508
2025-03-28 20:26:42.009350,93184.95326621765,0.6666471145456963,69890.76471869298,27955.485979865294,18636.99065324353,0.5,True,0.0011780411437074534,-6.815046733782348,86302.23692727255,-13.697763072727454
2025-03-29 20:26:42.009350,91367.3037348357,0.6404939941955037,71325.65220193684,27410.19112045071,18273.460746967143,0.5,True,-0.019505826506014845,-8.632696265164297,82916.5284473252,-17.0834715526748
2025-03-30 20:26:42.009350,91454.98151239622,0.6415828720390152,71272.92942043718,27436.494453718864,18290.996302479245,0.5,True,0.000959618747369051,-8.545018487603784,83057.49147196775,-16.942508528032253
2025-03-31 20:26:42.009350,90896.62038377262,0.633608124866802,71729.36774041608,27268.986115131785,18179.324076754525,0.5,True,-0.006105311262327606,-9.10337961622738,82025.1034140663,-17.97489658593371
2025-04-01 20:26:42.009350,90079.42047074897,0.6220764299342075,72402.21308519598,27023.82614122469,18015.884094149795,0.5,True,-0.008990432312811714,-9.920579529251029,80532.24302881733,-19.46775697118267
