asset,chaos_return,hodl_return,outperformance,chaos_cagr,hodl_cagr,chaos_vol,chaos_sharpe,chaos_max_dd,hodl_max_dd,dd_reduction,n_rebalances,days
ADA,-31.817151148227275,-61.92649915027748,79.08216300069935,-34.03406477147459,-64.97109459660392,40.80324917623485,-81.8151560870988,-46.68071138606854,-74.49240631324913,-27.811694927180596,139,336
BTC,-4.9026161229100085,-14.23866093635885,10.886076308254488,-5.314318504515924,-15.368121790806988,21.80981127776737,-14.215318416195561,-27.92965843402654,-49.62577290988388,-21.69611447585734,42,336
ETH,9.527923595045241,3.3685472877978295,5.958656156885445,10.391650296509702,3.6645507492147456,38.313578356738134,44.84894233946953,-36.745276391131235,-62.30100860272805,-25.555732211596812,123,336
SOL,-9.461867099106602,-30.36341454489865,30.0151814009727,-10.235279204315194,-32.504806839865395,39.266286511031645,-7.98148248159267,-41.51208407045266,-68.28987579271538,-26.77779172226272,127,336
DOT,-34.59321172059519,-65.73364576867118,90.87758165881883,-36.94648267519089,-68.7591695343526,41.672329020385156,-90.09608689117456,-46.542829004658095,-76.41990782258021,-29.87707881792212,146,336
